age,gender,country,work_remotely,company_size,family_history,benefits,care_options,wellness_program,anonymity,leave,coworkers,supervisor,mental_health_consequence,physical_health_consequence,mental_vs_physical,treatment
40,Male,United States of America,Sometimes,More than 1000,Yes,Yes,No,i don't know,i don't know,Somewhat difficult,No,No,Maybe,Maybe,No,0
46,Male,United States of America,Sometimes,100-500,i don't know,i don't know,i am not sure,No,i don't know,Very difficult,No,No,Maybe,Maybe,I don't know,1
26,Male,United States of America,Sometimes,26-100,No,i don't know,i am not sure,No,i don't know,I don't know,Yes,Yes,No,No,I don't know,0
30,Male,United States of America,Sometimes,More than 1000,i don't know,Yes,Yes,Yes,Yes,I don't know,No,No,Maybe,No,I don't know,0
27,Female,Canada,Always,100-500,No,No,No,No,i don't know,I don't know,No,No,Yes,Maybe,I don't know,0
35,Male,United States of America,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
26,Female,United States of America,Sometimes,26-100,Yes,Yes,Yes,No,i don't know,Neither easy nor difficult,Maybe,No,Maybe,No,No,1
35,Male,Australia,Always,100-500,Yes,i don't know,No,i don't know,i don't know,Somewhat easy,Yes,Yes,No,No,I don't know,0
29,Male,Netherlands,Never,26-100,Yes,i don't know,i am not sure,No,i don't know,Somewhat easy,Maybe,Maybe,No,No,Yes,1
34,Male,United Kingdom,Sometimes,100-500,No,i don't know,Unknown,Yes,Yes,Very easy,Yes,Yes,No,No,Yes,1
27,Male,United States of America,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
39,Male,United Kingdom,Sometimes,100-500,No,No,Unknown,No,Yes,I don't know,Maybe,No,Maybe,No,I don't know,0
27,Male,United Kingdom,Sometimes,100-500,No,i don't know,Unknown,i don't know,i don't know,Somewhat easy,Yes,Yes,No,No,Yes,0
31,Male,Czech Republic,Sometimes,500-1000,No,No,No,No,i don't know,Somewhat easy,Maybe,Yes,No,No,I don't know,1
26,Male,United Kingdom,Never,26-100,No,No,No,No,i don't know,Somewhat difficult,No,Yes,Maybe,No,No,0
44,Male,United States of America,Always,26-100,Yes,Yes,No,No,Yes,Neither easy nor difficult,Yes,Maybe,Maybe,Maybe,I don't know,1
27,Male,United States of America,Sometimes,100-500,No,Yes,No,i don't know,i don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,No,I don't know,0
57,Female,United States of America,Sometimes,100-500,Yes,Yes,i am not sure,No,i don't know,Somewhat easy,Maybe,Yes,No,No,I don't know,1
34,Male,Canada,Sometimes,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
38,Male,United States of America,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
55,Male,United States of America,Always,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
28,Male,Costa Rica,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
35,Male,United States of America,Never,More than 1000,i don't know,i don't know,i am not sure,No,No,Neither easy nor difficult,No,Maybe,Yes,No,I don't know,1
26,Male,United States of America,Always,100-500,i don't know,Yes,No,No,i don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,Yes,1
22,Female,United States of America,Never,25-Jun,No,i don't know,i am not sure,Yes,Yes,Very easy,Maybe,Yes,No,No,Yes,0
31,Male,United States of America,Sometimes,100-500,No,i don't know,i am not sure,No,i don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,I don't know,0
31,Male,United Kingdom,Never,26-100,No,i don't know,No,No,No,Somewhat difficult,No,No,Maybe,Maybe,I don't know,1
40,Male,Germany,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
26,Male,United States of America,Sometimes,More than 1000,No,Yes,Yes,No,Yes,Neither easy nor difficult,Maybe,Yes,Maybe,No,No,1
36,Male,United States of America,Sometimes,5-Jan,Yes,No,Unknown,No,No,Very difficult,No,No,Yes,No,I don't know,1
33,Male,United States of America,Sometimes,26-100,Yes,Yes,Yes,No,Yes,Somewhat easy,Yes,Yes,No,No,Yes,1
24,Female,United States of America,Sometimes,500-1000,Yes,Yes,i am not sure,Yes,i don't know,Very easy,Yes,Yes,No,No,I don't know,1
22,Male,Vietnam,Sometimes,25-Jun,Yes,No,No,No,i don't know,Very easy,No,Maybe,Maybe,Maybe,No,0
33,Male,United States of America,Always,25-Jun,Yes,Yes,Yes,No,i don't know,Somewhat difficult,Maybe,Yes,No,No,Yes,1
37,Female,United States of America,Sometimes,More than 1000,No,Yes,No,No,i don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,1
29,Male,United States of America,Always,25-Jun,No,Yes,i am not sure,No,i don't know,Very easy,Yes,Yes,No,No,Yes,0
38,Male,United States of America,Sometimes,5-Jan,i don't know,not eligible for coverage / n/a,Unknown,Yes,Yes,Neither easy nor difficult,Yes,Yes,No,No,Yes,1
33,Male,United States of America,Sometimes,5-Jan,Yes,No,Unknown,No,i don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,0
44,Female,Canada,Always,5-Jan,Yes,i don't know,i am not sure,No,i don't know,Neither easy nor difficult,No,No,Yes,Yes,No,1
23,Male,United States of America,Sometimes,25-Jun,Yes,Yes,i am not sure,No,i don't know,Somewhat easy,Maybe,Yes,No,No,I don't know,1
30,Male,United States of America,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
30,Male,United States of America,Never,More than 1000,i don't know,i don't know,No,No,i don't know,Very difficult,No,No,Yes,No,No,1
28,Male,United States of America,Sometimes,26-100,No,Yes,No,No,i don't know,Neither easy nor difficult,Yes,Yes,No,No,I don't know,0
39,Male,United States of America,Never,26-100,i don't know,Yes,Yes,No,No,Somewhat easy,Maybe,Maybe,No,No,No,0
24,Female,United States of America,Never,25-Jun,Yes,No,No,No,i don't know,Somewhat difficult,No,No,Yes,No,I don't know,1
27,Male,Netherlands,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
35,Male,United States of America,Sometimes,More than 1000,Yes,Yes,Yes,Yes,i don't know,Somewhat easy,Maybe,Yes,No,No,Yes,1
23,Male,United States of America,Never,25-Jun,Yes,No,No,No,i don't know,Neither easy nor difficult,Yes,Yes,No,No,I don't know,0
37,Male,United States of America,Sometimes,More than 1000,Yes,Yes,i am not sure,i don't know,Yes,Very easy,Maybe,Yes,No,No,I don't know,0
35,Male,United States of America,Sometimes,25-Jun,No,Yes,i am not sure,No,i don't know,Somewhat easy,Maybe,Yes,No,No,I don't know,0
27,Male,United States of America,Sometimes,26-100,i don't know,Yes,Yes,No,Yes,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,0
27,Female,United States of America,Always,5-Jan,Yes,i don't know,i am not sure,No,i don't know,Very easy,Maybe,Maybe,No,No,Yes,0
27,Female,United States of America,Never,More than 1000,No,Yes,i am not sure,No,i don't know,Somewhat difficult,No,No,Maybe,No,I don't know,0
42,Male,United States of America,Sometimes,25-Jun,Yes,i don't know,i am not sure,No,i don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,1
32,Male,United States of America,Never,25-Jun,Yes,Yes,i am not sure,No,Yes,Somewhat difficult,No,Maybe,Maybe,Maybe,No,0
26,Male,Finland,Sometimes,25-Jun,Yes,i don't know,i am not sure,No,i don't know,I don't know,Maybe,Maybe,No,No,I don't know,1
28,Male,Bulgaria,Never,100-500,No,i don't know,No,No,i don't know,Neither easy nor difficult,No,No,Yes,No,I don't know,0
28,Male,United States of America,Sometimes,25-Jun,No,i don't know,No,No,i don't know,I don't know,No,No,Yes,No,I don't know,0
32,Male,United States of America,Sometimes,100-500,Yes,Yes,No,No,Yes,I don't know,No,No,Maybe,No,I don't know,1
43,Male,United States of America,Always,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
34,Male,United States of America,Never,26-100,i don't know,Yes,i am not sure,Yes,i don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,No,No,1
61,Female,United States of America,Sometimes,25-Jun,No,i don't know,i am not sure,No,No,Neither easy nor difficult,No,Maybe,Maybe,Maybe,I don't know,1
50,Male,United States of America,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
38,Male,India,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
51,Male,Germany,Sometimes,25-Jun,Yes,not eligible for coverage / n/a,i am not sure,i don't know,i don't know,I don't know,Maybe,Maybe,Yes,Maybe,No,1
38,Male,Ireland,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
34,Male,United States of America,Always,500-1000,Yes,i don't know,i am not sure,i don't know,i don't know,Very easy,Yes,Yes,No,No,Yes,1
43,Male,United States of America,Always,25-Jun,No,No,Unknown,No,i don't know,Somewhat difficult,Yes,Maybe,Maybe,Maybe,No,1
43,Female,United States of America,Sometimes,100-500,No,Yes,No,No,i don't know,Somewhat difficult,No,Maybe,Yes,No,I don't know,0
44,Male,United States of America,Always,25-Jun,Yes,No,i am not sure,Yes,i don't know,Somewhat difficult,No,Maybe,Maybe,No,I don't know,1
35,Male,United States of America,Sometimes,100-500,i don't know,i don't know,No,No,i don't know,Very easy,Maybe,Maybe,Maybe,No,I don't know,1
50,Male,United States of America,Always,26-100,No,Yes,Yes,No,i don't know,Very easy,Maybe,Yes,No,No,Yes,0
29,Male,United States of America,Sometimes,100-500,No,Yes,Yes,No,Yes,Very difficult,Maybe,Yes,Maybe,No,I don't know,1
29,Male,United States of America,Never,100-500,Yes,Yes,Yes,Yes,i don't know,Very easy,Yes,Yes,No,No,Yes,1
36,Male,Canada,Sometimes,500-1000,i don't know,Yes,No,No,i don't know,Very easy,Yes,Yes,Maybe,Maybe,Yes,0
33,Male,Australia,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
50,Male,Australia,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
46,Male,United States of America,Always,More than 1000,No,i don't know,i am not sure,No,i don't know,I don't know,No,No,Maybe,Maybe,No,1
44,Female,New Zealand,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
23,Unknown,United States of America,Sometimes,More than 1000,Yes,Yes,i am not sure,No,No,Very difficult,Maybe,No,Yes,Maybe,No,1
41,Male,United States of America,Sometimes,25-Jun,i don't know,i don't know,i am not sure,No,i don't know,Neither easy nor difficult,Maybe,Yes,Maybe,No,No,1
31,Male,Canada,Sometimes,More than 1000,No,Yes,No,Yes,i don't know,Somewhat easy,Maybe,Yes,No,Maybe,I don't know,0
55,Male,United States of America,Sometimes,5-Jan,Yes,No,Yes,No,No,Very difficult,No,No,Yes,No,No,1
34,Male,United States of America,Sometimes,26-100,No,No,Unknown,No,i don't know,Very difficult,Maybe,No,Yes,Maybe,No,0
28,Female,United States of America,Always,25-Jun,Yes,Yes,Yes,No,i don't know,Somewhat difficult,Yes,Yes,No,No,Yes,1
33,Male,United States of America,Sometimes,25-Jun,Yes,Yes,No,No,i don't know,Very difficult,Maybe,Maybe,No,No,I don't know,1
29,Male,United States of America,Sometimes,100-500,Yes,Yes,No,No,No,Neither easy nor difficult,Maybe,No,Yes,Yes,No,1
33,Female,United States of America,Sometimes,More than 1000,Yes,Yes,i am not sure,Yes,Yes,Somewhat difficult,Maybe,Yes,No,No,Yes,1
28,Male,United States of America,Sometimes,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
28,Male,United States of America,Sometimes,More than 1000,Yes,Yes,Yes,Yes,i don't know,I don't know,No,Maybe,Maybe,No,I don't know,1
32,Male,United States of America,Sometimes,26-100,Yes,Yes,No,Yes,i don't know,I don't know,Yes,Yes,No,No,Yes,1
36,Female,United States of America,Never,25-Jun,Yes,Yes,Yes,No,i don't know,Neither easy nor difficult,No,Maybe,No,No,I don't know,1
45,Male,United Kingdom,Sometimes,More than 1000,No,i don't know,i am not sure,Yes,Yes,Somewhat easy,No,No,Yes,No,I don't know,0
29,Male,Lithuania,Always,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
23,Male,France,Never,More than 1000,No,No,No,Yes,i don't know,Somewhat easy,No,No,Maybe,No,I don't know,0
54,Female,Canada,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
61,Female,United States of America,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
29,Female,United States of America,Sometimes,26-100,Yes,i don't know,i am not sure,No,i don't know,I don't know,No,No,Yes,Yes,No,1
31,Male,Australia,Sometimes,26-100,i don't know,not eligible for coverage / n/a,Unknown,No,i don't know,Neither easy nor difficult,No,Maybe,Maybe,No,I don't know,1
37,Male,United States of America,Always,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
29,Male,Germany,Never,25-Jun,Yes,No,No,No,No,Somewhat difficult,No,No,Yes,Maybe,I don't know,1
28,Male,United Kingdom,Always,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
30,Male,United Kingdom,Sometimes,26-100,No,i don't know,i am not sure,No,Yes,Somewhat easy,Maybe,Maybe,No,No,I don't know,1
55,Male,United Kingdom,Always,More than 1000,No,Yes,i am not sure,Yes,Yes,Somewhat easy,Yes,Yes,No,No,Yes,1
38,Female,United States of America,Never,25-Jun,Yes,i don't know,No,No,i don't know,Neither easy nor difficult,Maybe,Yes,Maybe,Maybe,I don't know,1
20,Male,Canada,Sometimes,25-Jun,i don't know,i don't know,i am not sure,No,Yes,Somewhat easy,No,No,Yes,No,I don't know,0
25,Male,United States of America,Sometimes,100-500,Yes,No,Yes,No,i don't know,Neither easy nor difficult,No,Maybe,No,No,I don't know,1
22,Male,Spain,Always,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
35,Male,United Kingdom,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
27,Male,United States of America,Never,26-100,i don't know,i don't know,No,No,i don't know,Very difficult,No,No,Maybe,No,No,1
24,Male,United States of America,Sometimes,25-Jun,Yes,No,Unknown,No,i don't know,Somewhat easy,No,Yes,Maybe,Maybe,I don't know,1
39,Male,Australia,Always,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
29,Male,Brazil,Never,26-100,i don't know,i don't know,i am not sure,No,i don't know,Neither easy nor difficult,No,No,No,No,Yes,0
40,Female,United States of America,Never,26-100,Yes,No,i am not sure,No,i don't know,Somewhat easy,Maybe,Yes,Yes,No,Yes,1
30,Male,United States of America,Always,5-Jan,Yes,No,No,No,No,Somewhat difficult,No,No,Maybe,No,I don't know,1
32,Male,Canada,Sometimes,26-100,No,Yes,No,No,i don't know,Somewhat easy,Yes,Yes,Maybe,No,No,0
34,Male,Germany,Sometimes,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
35,Female,Canada,Sometimes,25-Jun,No,Yes,i am not sure,i don't know,Yes,Very easy,Maybe,Maybe,No,No,Yes,1
30,Male,United States of America,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
36,Male,United Kingdom,Never,25-Jun,Yes,No,No,No,i don't know,I don't know,Maybe,No,Maybe,No,No,1
26,Male,Sweden,Sometimes,26-100,i don't know,i don't know,No,i don't know,i don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,0
31,Female,Netherlands,Never,500-1000,Yes,i don't know,i am not sure,Yes,i don't know,Somewhat easy,Yes,No,Maybe,No,I don't know,1
33,Male,South Africa,Never,26-100,Yes,not eligible for coverage / n/a,Unknown,Yes,Yes,Very easy,No,Yes,No,No,Yes,0
30,Male,United Kingdom,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
46,Male,United Kingdom,Always,26-100,No,i don't know,i am not sure,No,i don't know,Somewhat easy,No,No,Maybe,Maybe,No,1
32,Male,United States of America,Sometimes,100-500,Yes,No,No,No,i don't know,Neither easy nor difficult,Yes,Yes,Maybe,No,I don't know,1
34,Male,United States of America,Sometimes,100-500,No,Yes,i am not sure,i don't know,i don't know,Very easy,Maybe,Maybe,Maybe,No,I don't know,0
41,Male,United States of America,Always,100-500,Yes,i don't know,i am not sure,No,i don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,1
32,Male,United States of America,Always,100-500,No,i don't know,i am not sure,No,i don't know,Very easy,Yes,Yes,No,No,Yes,0
47,Male,United States of America,Sometimes,More than 1000,Yes,Yes,No,i don't know,i don't know,Somewhat difficult,No,No,Maybe,Maybe,I don't know,1
29,Male,United States of America,Always,100-500,Yes,i don't know,No,No,i don't know,Very easy,No,No,No,No,Yes,0
36,Male,United States of America,Sometimes,100-500,i don't know,Yes,i am not sure,Yes,i don't know,I don't know,Yes,Maybe,Maybe,No,I don't know,1
32,Male,United States of America,Sometimes,100-500,Yes,No,Yes,No,i don't know,Somewhat difficult,Maybe,No,Yes,No,No,1
29,Male,United States of America,Sometimes,100-500,Yes,i don't know,No,No,i don't know,Neither easy nor difficult,Maybe,Yes,No,No,I don't know,1
22,Male,United Kingdom,Never,5-Jan,No,not eligible for coverage / n/a,Unknown,No,i don't know,Very easy,Yes,Yes,No,No,Yes,0
32,Female,United States of America,Sometimes,More than 1000,Yes,Yes,Yes,No,Yes,Very easy,No,No,Yes,No,No,1
19,Female,United States of America,Never,More than 1000,No,Yes,i am not sure,No,i don't know,Neither easy nor difficult,No,No,No,Maybe,I don't know,0
30,Male,South Africa,Sometimes,25-Jun,No,No,Unknown,No,Yes,Very easy,Yes,Yes,No,No,Yes,0
32,Other,United States of America,Always,25-Jun,Yes,i don't know,i am not sure,No,Yes,Somewhat easy,Maybe,Yes,No,No,Yes,1
22,Male,United States of America,Sometimes,More than 1000,No,i don't know,i am not sure,i don't know,i don't know,Somewhat easy,Maybe,Yes,No,No,Yes,0
30,Male,Poland,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
33,Male,United States of America,Sometimes,100-500,Yes,Yes,No,i don't know,i don't know,I don't know,Maybe,Maybe,No,No,I don't know,0
33,Male,Slovakia,Sometimes,25-Jun,No,No,No,No,i don't know,I don't know,Maybe,Maybe,No,No,I don't know,0
48,Female,United Kingdom,Never,25-Jun,No,No,i am not sure,No,i don't know,Very difficult,No,Maybe,Yes,Maybe,No,1
45,Male,Germany,Never,More than 1000,No,No,No,No,i don't know,Somewhat difficult,No,No,Maybe,Maybe,No,1
28,Male,United Kingdom,Sometimes,26-100,Yes,i don't know,i am not sure,Yes,Yes,Very easy,Maybe,Yes,No,No,Yes,1
44,Male,United States of America,Sometimes,100-500,Yes,i don't know,No,i don't know,i don't know,Somewhat difficult,Maybe,Yes,No,No,I don't know,1
31,Male,United States of America,Sometimes,25-Jun,No,No,Unknown,No,i don't know,Somewhat difficult,No,No,Maybe,No,No,0
31,Female,United States of America,Sometimes,26-100,i don't know,Yes,i am not sure,No,i don't know,Somewhat easy,Yes,Yes,No,No,Yes,1
29,Male,United States of America,Never,More than 1000,No,Yes,No,Yes,Yes,Very easy,Yes,Yes,No,No,Yes,0
26,Male,United States of America,Never,More than 1000,No,Yes,Yes,No,i don't know,I don't know,No,Maybe,Maybe,Maybe,No,0
35,Female,United States of America,Sometimes,100-500,Yes,Yes,Yes,Yes,i don't know,Neither easy nor difficult,Yes,Yes,No,No,Yes,1
44,Male,Austria,Sometimes,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
45,Male,United States of America,Always,25-Jun,Yes,Yes,No,No,i don't know,I don't know,No,No,Yes,No,No,1
22,Female,United States of America,Sometimes,25-Jun,Yes,Yes,i am not sure,No,i don't know,Somewhat easy,No,Yes,No,No,Yes,1
34,Male,United States of America,Sometimes,100-500,i don't know,Yes,Yes,No,i don't know,I don't know,Maybe,Yes,No,No,I don't know,0
35,Male,United Kingdom,Never,26-100,i don't know,i don't know,i am not sure,No,i don't know,Somewhat easy,Maybe,Yes,Maybe,No,Yes,0
39,Male,United States of America,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
26,Male,Denmark,Never,25-Jun,Yes,not eligible for coverage / n/a,Yes,No,No,Somewhat difficult,No,No,Yes,No,I don't know,1
24,Male,Australia,Sometimes,More than 1000,Yes,not eligible for coverage / n/a,i am not sure,i don't know,i don't know,Somewhat difficult,Maybe,Maybe,Yes,No,I don't know,1
24,Male,United States of America,Never,25-Jun,Yes,i don't know,No,No,Yes,Somewhat easy,Maybe,Maybe,No,No,Yes,1
34,Male,United States of America,Sometimes,26-100,No,Yes,Yes,No,i don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,1
36,Male,Australia,Sometimes,26-100,No,No,Unknown,No,i don't know,Very easy,Maybe,Yes,No,No,Yes,0
41,Male,Australia,Sometimes,500-1000,Yes,Yes,Yes,i don't know,i don't know,Somewhat difficult,No,No,Yes,Maybe,I don't know,1
21,Male,United States of America,Never,More than 1000,No,not eligible for coverage / n/a,i am not sure,No,i don't know,Somewhat easy,Maybe,No,Maybe,No,I don't know,1
33,Male,Bangladesh,Sometimes,100-500,i don't know,i don't know,i am not sure,No,No,Somewhat easy,Maybe,Maybe,Maybe,No,No,1
32,Male,India,Always,More than 1000,Yes,i don't know,i am not sure,No,i don't know,Somewhat easy,Yes,Yes,No,No,I don't know,1
62,Female,United States of America,Never,More than 1000,i don't know,Yes,Yes,No,Yes,Neither easy nor difficult,Yes,Maybe,No,No,I don't know,1
37,Male,United States of America,Sometimes,26-100,Yes,Yes,Yes,No,i don't know,Somewhat difficult,Maybe,Maybe,Maybe,No,I don't know,1
32,Male,United States of America,Always,26-100,i don't know,i don't know,i am not sure,No,i don't know,Somewhat easy,Yes,Yes,No,No,I don't know,0
31,Male,United States of America,Sometimes,More than 1000,No,Yes,Yes,i don't know,i don't know,Very difficult,Maybe,Maybe,Maybe,Maybe,I don't know,1
28,Male,United States of America,Sometimes,25-Jun,Yes,i don't know,i am not sure,No,i don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,1
48,Female,United States of America,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
40,Male,Algeria,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
29,Male,Norway,Never,26-100,No,Yes,Yes,No,Yes,Very easy,Maybe,Maybe,No,No,Yes,1
33,Male,Germany,Never,26-100,i don't know,Yes,Yes,Yes,i don't know,I don't know,Yes,Maybe,Maybe,Maybe,I don't know,1
27,Male,Finland,Sometimes,26-100,Yes,i don't know,i am not sure,Yes,i don't know,Somewhat easy,Maybe,Yes,No,No,Yes,0
24,Male,Australia,Sometimes,26-100,No,not eligible for coverage / n/a,Unknown,No,No,Very easy,Maybe,Maybe,No,No,No,0
28,Male,Netherlands,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
42,Male,United States of America,Always,5-Jan,Yes,Yes,Yes,Yes,No,Very easy,Yes,Yes,No,No,Yes,1
28,Male,United Kingdom,Sometimes,26-100,No,No,Unknown,No,i don't know,I don't know,Maybe,Maybe,No,No,I don't know,0
40,Male,Canada,Always,500-1000,Yes,i don't know,No,No,i don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,No,1
32,Female,United States of America,Always,More than 1000,Yes,Yes,i am not sure,No,i don't know,Very easy,No,No,Maybe,Maybe,I don't know,1
33,Male,United States of America,Always,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
40,Male,United States of America,Always,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
26,Male,United States of America,Never,25-Jun,Yes,Yes,Yes,No,Yes,Very easy,No,No,Maybe,No,No,1
39,Female,United States of America,Sometimes,100-500,Yes,i don't know,i am not sure,No,i don't know,Somewhat easy,Yes,Maybe,Maybe,Maybe,I don't know,1
38,Male,United Kingdom,Never,500-1000,No,not eligible for coverage / n/a,Unknown,Yes,i don't know,Very easy,Yes,Yes,No,No,Yes,0
34,Male,United States of America,Sometimes,More than 1000,Yes,Yes,No,No,i don't know,Very difficult,No,Maybe,Yes,No,I don't know,0
44,Male,Netherlands,Never,26-100,i don't know,i don't know,Unknown,No,i don't know,Very difficult,Yes,Maybe,Maybe,Maybe,I don't know,1
54,Male,United Kingdom,Always,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
24,Male,Pakistan,Always,100-500,No,Yes,No,No,Yes,Very easy,Yes,Yes,No,No,Yes,0
31,Male,United States of America,Sometimes,25-Jun,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Yes,No,No,Yes,1
47,Male,United States of America,Sometimes,More than 1000,Yes,Yes,Yes,i don't know,No,Somewhat difficult,Maybe,Yes,Yes,No,No,1
30,Male,Australia,Sometimes,More than 1000,Yes,not eligible for coverage / n/a,Unknown,Yes,Yes,Very easy,Yes,Yes,No,No,Yes,1
34,Male,United States of America,Always,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
29,Other,United States of America,Sometimes,25-Jun,Yes,Yes,i am not sure,Yes,Yes,Very easy,Yes,Yes,No,No,I don't know,1
27,Male,United States of America,Sometimes,More than 1000,No,Yes,i am not sure,No,i don't know,Very difficult,Maybe,Yes,Maybe,No,No,0
29,Male,United States of America,Never,More than 1000,No,Yes,No,Yes,Yes,Neither easy nor difficult,No,Maybe,No,No,I don't know,1
43,Female,United States of America,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
31,Other,United States of America,Sometimes,100-500,Yes,Yes,i am not sure,No,Yes,Somewhat difficult,Maybe,No,Maybe,No,I don't know,1
27,Male,Norway,Never,25-Jun,No,i don't know,i am not sure,No,i don't know,I don't know,No,No,Yes,Maybe,No,0
29,Male,United Kingdom,Never,25-Jun,No,No,Unknown,No,No,Somewhat difficult,Maybe,Maybe,Maybe,No,I don't know,1
29,Male,United Kingdom,Never,25-Jun,No,not eligible for coverage / n/a,Unknown,No,i don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,0
42,Male,United States of America,Sometimes,More than 1000,i don't know,Yes,i am not sure,No,i don't know,Somewhat difficult,Maybe,Maybe,Maybe,No,I don't know,0
26,Female,United States of America,Always,25-Jun,Yes,Yes,i am not sure,No,i don't know,Somewhat difficult,No,Maybe,Maybe,No,I don't know,0
26,Male,Switzerland,Sometimes,25-Jun,Yes,i don't know,i am not sure,Yes,i don't know,Very easy,Yes,Yes,No,No,Yes,1
24,Male,United States of America,Sometimes,100-500,i don't know,Yes,Yes,Yes,Yes,Somewhat difficult,No,Maybe,Maybe,Maybe,Yes,0
25,Male,United States of America,Never,More than 1000,No,Yes,No,Yes,Yes,Somewhat difficult,No,No,Yes,Maybe,Yes,0
22,Male,United States of America,Sometimes,25-Jun,No,Yes,Yes,No,i don't know,Very easy,Maybe,Yes,No,No,Yes,0
33,Male,United States of America,Sometimes,100-500,Yes,Yes,i am not sure,No,Yes,Neither easy nor difficult,Maybe,Maybe,Maybe,No,No,1
